"date","TOC_Tesla","Q_HH_cfd_sum1","ADD_HH_sum1","SJPL_mgd","V_HH_af","SR_HH_cfs","CPT_cfs","Ta_HH_C","ADD_HH","Q_HH_cfd","ADD_HH_sum","Q_HH_cfd_sum","Tw_Tesla_C"
"2001-04-17",0.9,33367503876.351,295,223.4,190700,74,884,12.22222222,6,106261814.2176,145,5473824684.53723,11.7
"2001-04-24",1.1,33367503876.351,295,224,197200,101,904,14.44444444,4,186130885.4784,149,6446152267.80443,11.1
"2001-05-01",1.2,33367503876.351,295,223.3,220400,143,1315,16.94444444,11,298935800.7264,156,8333654855.15483,12.2
"2001-05-08",1.3,33367503876.351,295,224.6,245800,156,1334,22.77777778,18,421756072.4736,163,10524309353.9708,11.1
"2001-05-15",1.4,33367503876.351,295,222.7,288900,143,1380,17.5,25,403930540.6272,170,13544650265.414,12.2
"2001-05-22",1.3,33367503876.351,295,231.6,328300,116,1229,23.88888889,32,350358095.0016,177,16244154918.7484,16.7
"2001-05-29",1.4,33367503876.351,295,292.4,350400,153,1392,18.88888889,39,216375170.1408,184,18186542062.8188,11.1
"2001-06-06",1.5,33367503876.351,295,292.6,359000,158,507,19.72222222,47,93790976.1984,192,19378157792.918,13.3
"2001-06-12",1.5,33367503876.351,295,294.2,359300,108,565,17.22222222,53,58365115.58304,198,19808305866.1062,15.6
"2001-06-19",1.5,33367503876.351,295,292.7,356300,110,493,22.5,60,33836411.34432,205,20100427782.0419,15.6
"2001-06-26",1.5,33367503876.351,295,293.4,351300,110,521,20,67,22993134.62112,212,20295162256.0892,14.4
"2001-07-03",1.5,33367503876.351,295,293.8,345400,109,639,28.33333333,74,23502585.6288,219,20429940616.407,15.6
"2001-07-16",1.5,33367503876.351,295,290.5,336800,109,431,18.61111111,7,13660702.4016,228,20811948891.4019,13.3
"2001-07-24",1.6,33367503876.351,295,292.9,328700,109,537,22.22222222,1,3813203.259936,235,20895708325.2024,13.3
"2001-07-31",1.6,33367503876.351,295,292.3,320500,112,523,20.83333333,8,5287379.77728,242,20947509172.0635,13.3
"2001-08-09",1.7,33367503876.351,295,292.2,310700,111,489,26.11111111,17,8656776.56448,251,21022670361.5178,15.6
"2001-08-17",1.5,33367503876.351,295,292,301600,110,466,26.38888889,25,5423215.905504,259,21078000985.497,17.8
"2001-08-21",1.4,33367503876.351,295,291.7,297000,110,521,21.94444444,29,3029871.797568,263,21091928211.3225,14.4
"2001-08-28",1.6,33367503876.351,295,291.8,289000,113,468,26.11111111,36,2877105.15216,270,21122914379.1977,15.6
"2001-09-05",1.5,33367503876.351,295,291.6,279700,82,563,22.22222222,44,4188287.70144,278,21148916539.0331,14.4
"2001-09-11",1.4,33367503876.351,295,290.7,273100,81,478,20.83333333,50,1779337.91232,284,21178125055.2207,13.3
"2001-09-18",1.5,33367503876.351,295,290.9,265400,66,452,20.83333333,57,2025707.776704,291,21202324050.8274,13.6
"2001-09-25",1.5,33367503876.351,295,290.1,257900,69,577,22.22222222,1,2354200.93008,297,21240940245.9312,13.3
"2001-10-02",1.4,21258940888.5905,302,290,251200,57,328,24.16666667,8,4161042.176832,2,24966253.060992,15.6
"2001-10-09",1.5,21258940888.5905,302,289.7,242900,56,516,14.44444444,15,0,9,29127295.237824,15.6
"2001-10-16",1.5,21258940888.5905,302,289.7,235900,55,487,20,22,13870140.58944,16,58116262.926528,13.3
"2001-10-23",1.3,21258940888.5905,302,253.1,229000,55,491,15,29,1177653.446208,23,75833404.772832,13.3
"2001-10-30",1.4,21258940888.5905,302,252.5,222600,58,441,8.055555556,0,7432301.748672,28,103188611.964672,13.6
"2001-11-06",1.3,21258940888.5905,302,253.2,216400,57,495,13.61111111,7,3724756.350624,35,147598490.50272,13.3
"2001-11-13",1.2,21258940888.5905,302,252.3,210700,55,451,6.111111111,1,6576007.894272,39,180099461.848032,12.2
"2001-11-20",1.2,21258940888.5905,302,254.1,204900,55,418,8.888888889,8,13531083.912,46,246376214.04528,13.3
"2001-11-28",1.2,21258940888.5905,302,254.1,203700,55,520,2.222222222,0,21639845.52864,49,539756106.50736,12.2
"2001-12-04",1.3,21258940888.5905,302,254.6,203000,57,412,-0.833333333,1,42689894.98752,50,782392170.32784,12.5
"2001-12-09",1.2,21258940888.5905,302,109.1,203500,57,190,1.388888889,1,28374207.31008,53,945130556.59056,13.3
"2001-12-11",1.6,21258940888.5905,302,108.1,203400,57,199,0.277777778,3,27798640.74144,55,1001680584.43824,11.95
"2001-12-17",1.2,21258940888.5905,302,107.4,203800,57,229,1.666666667,0,18670399.85376,58,1136509298.676,11.65
"2001-12-18",1.1,21258940888.5905,302,106.8,203000,56,352,3.055555556,1,20984912.23104,59,1157494210.90704,11.65
"2001-12-26",1.3,21258940888.5905,302,108.6,196900,56,635,6.111111111,4,29968649.17056,64,1362496327.96752,11.65
"2001-12-30",1.3,21258940888.5905,302,107.6,192900,113,1234,6.388888889,0,76773232.83168,64,1661016991.21776,12.2
"2002-01-03",1.3,21258940888.5905,302,108.4,188800,131,1233,4.722222222,1,71464625.94816,65,1981365671.70576,11.65
"2002-01-06",1.2,21258940888.5905,302,107.1,183900,124,1269,9.444444444,0,63491361.42528,66,2182349697.65136,12.2
"2002-01-10",1.2,21258940888.5905,302,108.2,177000,120,1263,7.222222222,4,50272058.03904,70,2398160780.10288,11.1
"2002-01-13",1.3,21258940888.5905,302,108.6,171400,117,1254,7.222222222,7,41429415.91104,73,2530219834.55664,11.1
"2002-01-17",1.2,21258940888.5905,302,108.8,163300,128,1242,2.5,11,31303548.61056,77,2672086183.01712,10
"2002-01-20",1.2,21258940888.5905,302,108.7,157100,125,1163,2.777777778,14,29296834.5312,80,2760863928.15888,10
"2002-01-24",1.2,21258940888.5905,302,106.5,151500,55,556,1.388888889,3,27093617.30304,83,2869649267.62032,10
"2002-01-27",1.1,21258940888.5905,302,106.3,149600,58,442,2.222222222,0,26280808.78464,84,2949429549.95568,10
